CODIGO;PRODUTO;PALLET;LASTRO;CAIXAS;UNIDADES
303;BRAHMA BOCK LONG NECK 355ML TWELVE-PACK;;;;
304;BRAHMA BOCK LONG NECK 355ML SIX-PACK BANDEJA C/4;;;;
305;BRAHMA BOCK LONG NECK 355ML BANDEJA C/24;;;;
306;GUARANA BRAHMA DIET LATA 350ML SIX-PACK BANDEJA C/4;;;;
307;GUARANA BRAHMA LATA 350ML SIX-PACK BANDEJA C/4;;;;
308;GUARANA BRAHMA DIET LATA 350ML TWELVE-PACK CARTAO;;;;
309;GUARANA BRAHMA LATA 350ML TWELVE-PACK CARTAO;;;;
310;GUARANA BRAHMA DIET LATA 350ML CAIXA C/24;;;;
312;SUKITA LATA 350ML SIX-PACK BANDEJA C/4;;;;
313;TONICA BRAHMA LATA 350ML CAIXA C/24;;;;
316;SUKITA LATA 350ML CAIXA C/24;;;;
317;LIMAO BRAHMA LATA 350ML CAIXA C/24;;;;
318;GUARANA BRAHMA LATA 350ML CAIXA C/24;;;;
319;DIET PEPSI COLA LATA 350ML CAIXA C/24;;;;
322;BRAHMA BOCK LONG NECK 355ML TWELVE-PACK BANDEJA C/2;;;;
323;BRAHMA BOCK LN 355 CX C/24;;;;
324;BRAHMA BOCK LONG NECK 355ML TWELVE-PACK EXPORTACAO;;;;
325;LIMAO BRAHMA LATA 350ML SIX-PACK BANDEJA C/4;;;;
326;TONICA BRAHMA LATA 350ML SIX-PACK BANDEJA C/4;;;;
327;PEPSI COLA LATA 350ML SIX-PACK BANDEJA C/4;;;;
328;DIET PEPSI COLA LATA 350ML SIX-PACK BANDEJA C/4;;;;
329;SUKITA LATA 350ML TWELVE-PACK CARTAO;;;;
330;BRAHMA BOCK LONG NECK 355ML SIX-PACK BANDEJA C/4 EXPORTACAO;;;;
331;MIST. SUBST. ODORIF. GUARANA E4 BOMBONA 5L KIT C/2;;;;
332;MIST. SUBST. ODORIF. GUARANA FRATELLI E4 BOMBONA 5L KIT C/3;;;;
333;MIST. SUBST. ODORIF. GUARANA DK BOMBONA 5L KIT C/2;;;;
334;MIST. SUBST. ODORIF. GUARANA ABC BOMBONA 5L KIT C/2;;;;
335;MIST. SUBST. ODORIF. GUARANA SPORT BOMBONA 5L KIT C/2;;;;
336;PREP. LIQ. LARANJA SPORT BOMBONA 5L KIT C/2;;;;
337;MIST. SUBST. ODORIF. QUININO BRAHMA BOMBONA 5L;;;;
338;PREP. LIQ. LARANJA SUKITA BOMBONA 5L KIT C/2;;;;
339;BRAHMA GUARANA LATA 500ML BANDEJA C/24;;;;
340;MIST. SUBST. ODORIF. GUARANA E4 DIET BOMBONA 5L KIT C/2;;;;
344;BRAHMA GUARANA DIET LATA 350ML SIX-PACK BANDEJA C/4;;;;
345;BRAHMA BOCK LONG NECK 355ML TWELVE-PACK BANDEJA C/2 EXPORTAC;;;;
